"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"Onderwerp"
"";"";"Installaties";"Opgesteld vermogen van zonnepanelen";"Opgesteld vermogen omvormers";"Productie van zonnestroom"
"Perioden";"Regio's";"aantal";"kWp";"kW";"mln kWh"
"2020";"Hillegom";"1904";"12234";"";"."
"2020";"Hilvarenbeek";"1503";"16865";"";"."
"2020";"Hilversum";"4522";"17261";"";"."
"2020";"Hoeksche Waard";"7870";"47128";"";"."
"2020";"Hof van Twente";"3863";"47177";"";"."
"2020";"Het Hogeland";"7410";"66435";"";"."
"2020";"Hollands Kroon";"5544";"88527";"";"."
"2020";"Hoogeveen";"6941";"72912";"";"."
"2020";"Hoorn";"6049";"25147";"";"."
"2020";"Horst aan de Maas";"5752";"56643";"";"."
"2020";"Houten";"4690";"39186";"";"."
"2020";"Huizen";"3926";"13833";"";"."
"2020";"Hulst";"4081";"17416";"";"."
"2020";"IJsselstein";"2047";"10918";"";"."
"2020";"Kaag en Braassem";"3218";"16227";"";"."
"2020";"Kampen";"5239";"43506";"";"."
"2020";"Kapelle";"1861";"12185";"";"."
"2020";"Katwijk";"4017";"21815";"";"."
"2020";"Kerkrade";"5448";"24159";"";"."
"2020";"Koggenland";"2580";"17423";"";"."
"2020";"Krimpen aan den IJssel";"1353";"6765";"";"."
"2020";"Krimpenerwaard";"3698";"26849";"";"."
