Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;winkelfunctie;16272;37710;0;53982
;;woonfunctie;865167;71699;14655;951521
183;Tubbergen;onbekend;1019549;437384;31385;1488318
;;bijeenkomstfunctie;14617;19034;0;33651
;;gezondheidszorgfunctie;1271;2180;0;3451
;;industriefunctie;30972;188349;1143;220465
;;kantoorfunctie;4150;34852;601;39603
;;logiesfunctie;6619;4165;305;11088
;;onderwijsfunctie;5041;13910;0;18951
;;overige gebruiksfunctie;3221;18564;33;21819
;;sportfunctie;1616;7935;0;9551
;;winkelfunctie;10451;109236;322;120009
;;woonfunctie;953468;100237;26687;1080392
184;Urk;onbekend;36489;34719;1454;72662
;;bijeenkomstfunctie;12366;23215;0;35582
;;gezondheidszorgfunctie;666;3546;0;4212
;;industriefunctie;19566;279890;16738;316194
;;kantoorfunctie;3693;20182;0;23875
;;logiesfunctie;601;474;0;1075
;;onderwijsfunctie;2317;21261;0;23578
;;overige gebruiksfunctie;942;9735;89;10766
;;sportfunctie;240;4311;0;4551
;;winkelfunctie;7852;23859;2151;33863
;;woonfunctie;431634;42391;17747;491772
189;Wierden;onbekend;475413;305049;21795;802257
;;bijeenkomstfunctie;10170;10347;696;21214
;;gezondheidszorgfunctie;1042;5745;0;6787
;;industriefunctie;9379;253127;7591;270097
;;kantoorfunctie;11442;19729;5283;36455
;;logiesfunctie;13992;1260;299;15551
;;onderwijsfunctie;4191;18209;0;22400
;;overige gebruiksfunctie;9862;25478;642;35981
;;sportfunctie;1373;33034;37;34445
;;standplaats;0;34;0;34
;;winkelfunctie;10156;42261;0;52417
;;woonfunctie;852175;126444;23173;1001793
193;Zwolle;onbekend;327429;545596;15585;888611
;;bijeenkomstfunctie;31655;123376;1796;156826
;;celfunctie;0;8245;0;8245
;;gezondheidszorgfunctie;7616;64411;0;72027
;;industriefunctie;20188;430167;23664;474019
;;kantoorfunctie;26409;418914;8916;454238
;;logiesfunctie;1609;21133;0;22741
;;onderwijsfunctie;16776;241412;0;258188
;;overige gebruiksfunctie;29748;632378;1590;663715
;;sportfunctie;2878;37179;0;40056
;;winkelfunctie;54558;374596;6078;435232
;;woonfunctie;2234947;1105634;67301;3407882
197;Aalten;onbekend;610342;350987;14065;975394
;;bijeenkomstfunctie;15058;20649;0;35707
;;gezondheidszorgfunctie;2180;3573;0;5753
;;industriefunctie;24988;454181;2051;481220
;;kantoorfunctie;4996;27430;0;32426
;;logiesfunctie;7874;1289;0;9163
;;onderwijsfunctie;3268;26460;0;29729
;;overige gebruiksfunctie;3890;35648;24;39562
;;sportfunctie;1462;22808;0;24270
;;winkelfunctie;8280;28649;0;36929
;;woonfunctie;982240;151636;6484;1140360
200;Apeldoorn;onbekend;1163284;1051866;30684;2245834
;;bijeenkomstfunctie;14234;54675;0;68909
;;gezondheidszorgfunctie;2917;38623;0;41540
;;industriefunctie;52770;599765;6520;659054
;;kantoorfunctie;21279;229778;0;251057
;;logiesfunctie;138710;62896;1594;203200
;;onderwijsfunctie;8309;100144;3914;112367
;;overige gebruiksfunctie;51669;312601;5969;370238
;;sportfunctie;3528;63608;93;67230
;;standplaats;1276;2080;0;3356
;;winkelfunctie;132689;1222700;67;1355456
;;woonfunctie;3499919;1552831;56942;5109693
202;Arnhem;onbekend;203046;489088;11587;703720
;;bijeenkomstfunctie;42974;126572;410;169956
;;gezondheidszorgfunctie;4097;29141;0;33238
;;industriefunctie;35788;539023;0;574811
;;kantoorfunctie;44792;401663;25828;472283
;;logiesfunctie;9161;35793;45;45000
;;onderwijsfunctie;9739;199501;0;209241
;;overige gebruiksfunctie;27770;232333;5135;265239
;;sportfunctie;3273;143850;2359;149483
;;standplaats;486;0;0;486
;;winkelfunctie;48479;347603;179;396262
;;woonfunctie;2294306;1386410;70848;3751564
203;Barneveld;onbekend;1581997;919586;27223;2528806
;;bijeenkomstfunctie;21907;64737;108;86752
;;gezondheidszorgfunctie;1553;4932;0;6485
;;industriefunctie;64908;966429;129;1031465
;;kantoorfunctie;18470;160085;383;178938
;;logiesfunctie;90626;159845;788;251259
;;onderwijsfunctie;7135;69454;0;76588
;;overige gebruiksfunctie;33700;89279;624;123603
;;sportfunctie;1669;39640;0;41309
;;winkelfunctie;16346;76098;377;92821
;;woonfunctie;1618179;369482;22440;2010101
209;Beuningen;onbekend;196562;196684;15018;408264
;;bijeenkomstfunctie;5613;5734;0;11346
;;gezondheidszorgfunctie;2562;8797;0;11360
;;industriefunctie;16640;202296;1622;220558
;;kantoorfunctie;5924;60485;239;66648
;;logiesfunctie;15856;1269;60;17185
;;onderwijsfunctie;1035;16990;0;18024
;;overige gebruiksfunctie;6623;12019;56;18699
;;sportfunctie;1195;8336;0;9531
;;standplaats;0;130;0;130
;;winkelfunctie;5116;54838;0;59955
;;woonfunctie;751557;162625;24082;938264
213;Brummen;onbekend;280397;328067;13661;622125
;;bijeenkomstfunctie;12821;9616;0;22437
;;gezondheidszorgfunctie;3255;5077;0;8332
;;industriefunctie;12035;229228;0;241263
;;kantoorfunctie;7705;26733;0;34438
;;logiesfunctie;22170;5455;0;27624
;;onderwijsfunctie;3479;5882;0;9361
;;overige gebruiksfunctie;4941;17670;40;22651
;;sportfunctie;875;11506;0;12381
;;winkelfunctie;11876;39767;817;52460
;;woonfunctie;684491;102349;9161;796000
214;Buren;onbekend;510887;502760;8083;1021730
;;bijeenkomstfunctie;21542;12659;350;34552
;;gezondheidszorgfunctie;2229;4473;171;6873
;;industriefunctie;33762;223812;1824;259398
;;kantoorfunctie;7925;55675;5077;68677
;;ligplaats;340;0;0;340
;;logiesfunctie;9289;24969;74;34332
;;onderwijsfunctie;2656;15127;0;17783
;;overige gebruiksfunctie;3721;8020;49;11789
;;sportfunctie;2293;5701;82;8075
;;standplaats;0;204;0;204
