"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 3 categorieën/1 Laag onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/2 Middelbaar onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/3 Hoog onderwijsniveau (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heerenveen";"   37700";"    26.3";"    45.5";"    28.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heerhugowaard";"   44000";"    27.8";"    47.1";"    25.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heerlen";"   66300";"    34.1";"    42.3";"    23.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heeze-Leende";"   12200";"    22.0";"    41.2";"    36.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heiloo";"   17500";"    18.6";"    39.8";"    41.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Den Helder";"   42700";"    30.7";"    51.9";"    17.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hellendoorn";"   26700";"    26.9";"    49.8";"    23.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hellevoetsluis";"   30800";"    29.9";"    50.0";"    20.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Helmond";"   71400";"    33.7";"    42.0";"    24.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hendrik-Ido-Ambacht";"   22600";"    25.1";"    46.9";"    28.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hengelo (O.)";"   62100";"    24.2";"    44.8";"    31.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"'s-Hertogenbosch";"  120500";"    25.3";"    35.9";"    38.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heumen";"   12300";"    19.9";"    36.0";"    44.0"
